shipment_id,shipment_date,origin_warehouse,destination_region,carrier,transport_mode,distance_km,weight_kg,shipment_volume_units,inventory_level,transportation_cost,delivery_time_days,delayed
SHP100769,2025-08-22 10:59:20.967472,WH-Delhi,Central,Carrier D,Rail,329.7,242.2,101,1275,3327.15,0.2,0
SHP101098,2025-11-30 08:06:24.320266,WH-Kolkata,West,Carrier D,Road,124.7,187.7,117,535,1487.01,0.4,0
SHP100686,2025-07-28 06:14:42.735613,WH-Mumbai,East,Carrier B,Road,516.9,129.4,103,3181,6387.35,1.2,0
SHP100855,2025-09-17 13:35:28.773978,WH-Bengaluru,Central,Carrier D,Rail,479.0,405.0,115,4286,3927.11,0.9,0
SHP101084,2025-11-26 02:06:06.305254,WH-Delhi,Central,,Road,1384.2,389.6,111,1688,168362.53176506408,1.0,0
SHP100640,2025-07-14 07:05:09.257714,WH-Mumbai,Central,Carrier A,Rail,783.9,95.3,136,464,5558.28,2.0,0
SHP101185,2025-12-26 17:59:41.984987,WH-Mumbai,West,Carrier D,Road,241.6,168.7,122,937,3445.59,0.3,0
SHP100321,2025-04-08 10:49:44.487072,WH-Delhi,South,Carrier A,Sea,505.9,337.4,131,602,2251.92,2.2,1
SHP100163,2025-02-19 11:37:46.889074,WH-Chennai,East,Carrier A,Road,245.4,154.0,147,2451,3140.48,0.3,0
SHP100268,2025-03-23 08:40:02.001668,WH-Kolkata,North,Carrier B,Road,1320.1,458.4,115,1225,17484.82,1.0,0
SHP100994,2025-10-29 18:21:19.065888,WH-Bengaluru,Central,Carrier B,Rail,708.1,257.4,125,4266,6155.23,0.8,0
SHP100078,2025-01-24 16:18:48.940783,WH-Chennai,North,Carrier B,Air,153.3,83.5,118,1830,9267.14,0.2,0
SHP101013,2025-11-04 12:47:26.371976,WH-Chennai,West,Carrier C,Rail,291.1,229.0,118,3347,2162.73,0.7,0
SHP100775,2025-08-24 06:42:20.116763,WH-Delhi,South,Carrier C,Road,924.6,244.6,122,373,11179.06,1.0,0
SHP100228,2025-03-11 05:13:27.673060,WH-Kolkata,Central,Carrier A,Sea,639.6,364.0,133,4521,4119.75,1.4,1
SHP100060,2025-01-19 05:09:51.492910,WH-Mumbai,East,Carrier C,Road,172.6,52.5,124,3166,1944.86,0.8,0
SHP100867,2025-09-21 05:01:27.072560,WH-Bengaluru,East,Carrier B,Air,1091.5,171.9,104,78,60965.83,0.2,0
SHP100990,2025-10-28 13:12:39.633027,WH-Chennai,North,Carrier D,Road,553.5,109.5,129,1416,6774.03,0.3,0
SHP101027,2025-11-08 18:47:44.386989,WH-Kolkata,North,Carrier C,Road,794.8,137.2,121,4848,10406.79,1.5,1
SHP100525,2025-06-09 09:11:15.562969,WH-Bengaluru,Central,Carrier D,Road,681.8,,117,3356,9932.07,1.1,0
SHP101060,2025-11-18 19:14:09.708090,WH-Mumbai,North,Carrier D,Rail,135.7,370.6,117,1967,1690.13,1.3,0
SHP100200,2025-03-02 17:12:51.643035,WH-Chennai,South,Carrier C,Rail,345.9,319.6,103,4482,3573.5,0.5,0
SHP101155,2025-12-17 15:24:46.238532,WH-Kolkata,North,Carrier D,Road,277.2,52.6,122,1769,2601.87,0.7,0
SHP100188,2025-02-27 01:46:53.344453,WH-Chennai,West,Carrier B,Rail,442.8,66.0,110,7,2991.0,0.4,0
SHP100711,2025-08-04 20:23:49.190992,WH-Bengaluru,Central,Carrier C,Road,152.5,677.5,120,4816,2711.98,0.8,0
SHP100828,2025-09-09 08:52:02.602168,WH-Bengaluru,South,Carrier D,Road,737.2,171.8,126,2584,9149.44,0.4,0
SHP101016,2025-11-05 10:38:55.946622,WH-Mumbai,East,Carrier D,Road,545.4,,133,4715,6482.13,0.5,0
SHP100710,2025-08-04 13:06:39.332777,WH-Kolkata,North,Carrier A,Air,552.1,433.2,109,3888,30893.35,0.6,0
SHP100979,2025-10-25 05:03:51.192660,WH-Kolkata,East,Carrier A,Road,474.3,558.6,117,2435,7841.7,1.2,0
SHP100062,2025-01-19 19:44:11.209341,WH-Delhi,East,Carrier C,Road,434.1,66.5,113,183,4894.53,0.5,0
SHP101146,2025-12-14 21:50:17.514595,WH-Mumbai,Central,Carrier D,Road,303.4,137.9,129,3220,3175.76,0.9,0
SHP100288,2025-03-29 10:23:19.165971,WH-Mumbai,Central,Carrier A,Sea,503.1,277.9,109,238,2455.0,1.3,0
SHP100813,2025-09-04 19:34:34.728940,WH-Kolkata,North,Carrier A,Road,403.1,301.9,135,2011,4934.71,1.0,0
SHP100099,2025-01-31 01:19:15.963302,WH-Delhi,West,Carrier D,Road,750.5,542.6,135,4246,10618.43,0.9,0
SHP100304,2025-04-03 06:57:56.897414,WH-Bengaluru,West,Carrier D,Rail,736.5,287.9,130,1221,6855.35,0.8,0
SHP100659,2025-07-20 01:31:16.563803,WH-Kolkata,Central,Carrier D,Road,271.6,304.3,118,111,4267.25,0.8,0
SHP100729,2025-08-10 07:32:46.638865,WH-Mumbai,East,Carrier D,Sea,819.7,140.8,124,4529,3929.38,1.1,0
SHP100647,2025-07-16 10:05:18.265221,WH-Mumbai,North,Carrier D,Sea,215.7,187.9,129,1374,1702.58,0.2,0
SHP100076,2025-01-24 01:44:29.224353,WH-Chennai,South,Carrier D,Sea,243.7,118.5,131,3854,937.0,0.6,0
SHP100211,2025-03-06 01:21:40.083402,WH-Kolkata,East,Carrier C,Sea,581.2,102.6,124,2447,2533.84,2.0,1
SHP101164,2025-12-20 08:59:14.962468,WH-Delhi,West,Carrier C,Air,506.5,227.6,112,1403,28058.79,0.2,0
SHP101144,2025-12-14 07:15:57.798165,WH-Kolkata,South,Carrier B,Road,604.8,278.7,130,3720,,,0
SHP100443,2025-05-15 11:43:47.189324,WH-Chennai,North,Carrier C,Rail,687.0,139.5,111,1439,5039.46,0.3,0
SHP100244,2025-03-16 01:48:05.404503,WH-Kolkata,North,Carrier A,Road,1095.5,533.1,117,1078,14867.38,1.8,1
SHP100587,2025-06-28 04:55:26.772310,WH-Bengaluru,West,Carrier C,Rail,351.4,261.1,118,3667,3507.22,0.2,0
SHP100336,2025-04-13 00:07:12.360300,WH-Delhi,West,Carrier A,Air,900.8,228.7,140,175,50531.89,0.7,0
SHP100205,2025-03-04 05:38:40.934111,WH-Kolkata,West,Carrier A,Road,298.3,410.7,132,905,4090.39,0.4,0
SHP100607,2025-07-04 06:38:43.936613,WH-Mumbai,Central,Carrier A,Road,560.8,371.6,124,4937,8454.12,0.3,0
SHP100927,2025-10-09 10:11:18.565471,WH-Chennai,West,Carrier D,Sea,388.2,146.7,122,507,1630.51,1.0,0
SHP100220,2025-03-08 18:56:08.807339,WH-Bengaluru,South,Carrier A,Road,287.9,354.9,111,1925,4103.1,0.2,0
SHP100262,2025-03-21 12:57:02.852376,WH-Mumbai,North,Carrier C,Road,461.8,417.3,111,1418,6785.12,1.6,1
SHP100034,2025-01-11 07:43:35.179316,WH-Kolkata,East,Carrier B,Road,851.3,197.5,98,1597,10514.15,1.7,1
SHP100085,2025-01-26 19:18:57.948290,WH-Kolkata,South,Carrier C,Sea,201.5,262.8,133,842,1543.52,1.4,1
SHP100857,2025-09-18 04:09:48.490408,WH-Mumbai,Central,Carrier C,Road,819.1,128.6,140,4718,9389.5,0.7,0
SHP100156,2025-02-17 08:37:37.881567,WH-Bengaluru,East,Carrier D,Road,745.6,277.6,114,3871,9770.51,1.0,0
SHP101124,2025-12-08 05:32:40.633861,WH-Kolkata,East,Carrier D,Road,292.6,144.9,130,398,3699.57,0.2,0
SHP100516,2025-06-06 15:36:46.839032,WH-Kolkata,East,Carrier D,Road,524.4,316.8,106,4901,7414.18,0.8,0
SHP100861,2025-09-19 09:18:27.923269,WH-Mumbai,Central,Carrier C,Road,445.1,177.0,109,1787,47269.695503082345,0.2,0
SHP100554,2025-06-18 04:29:01.451209,WH-Delhi,South,Carrier B,Rail,307.4,180.7,108,1143,2570.51,0.2,0
SHP101115,2025-12-05 11:58:11.909924,WH-Delhi,South,Carrier D,Road,818.2,137.6,126,4751,10755.66,1.1,0
SHP100653,2025-07-18 05:48:17.414512,WH-Delhi,North,Carrier C,Road,202.0,83.1,126,1196,,0.7,0
SHP100766,2025-08-21 13:07:51.392827,WH-Mumbai,South,Carrier D,Road,416.9,72.6,109,710,6042.02,0.2,0
SHP100817,2025-09-06 00:43:14.161801,WH-Kolkata,Central,Carrier B,Road,567.9,63.8,125,2914,7195.72,0.7,0
SHP100537,2025-06-13 00:37:13.861551,WH-Mumbai,Central,Carrier A,Road,238.0,230.2,132,4766,3702.23,0.7,0
SHP100947,2025-10-15 11:54:35.729774,WH-Delhi,West,Carrier C,Road,373.8,114.0,124,1310,4886.81,0.2,0
SHP100422,2025-05-09 02:43:20.166805,WH-Bengaluru,West,Carrier B,Sea,632.7,144.9,124,3987,2357.98,1.5,1
SHP100375,2025-04-24 20:16:36.830692,WH-Kolkata,Central,Carrier C,Sea,893.1,324.0,123,4078,5052.4,2.7,1
SHP100481,2025-05-27 00:36:01.801501,WH-Bengaluru,Central,Carrier B,Road,219.8,182.9,126,2059,3369.63,0.2,0
SHP100349,2025-04-16 22:50:20.517097,WH-Mumbai,South,Carrier D,Road,612.1,170.1,106,1801,8288.2,0.8,0
SHP100408,2025-05-04 20:43:02.151793,WH-Mumbai,West,Carrier B,Road,1171.3,27.4,110,764,14072.36,1.6,1
SHP100790,2025-08-28 19:59:47.989991,WH-Delhi,East,Carrier A,Sea,307.1,,123,1388,2229.8,2.5,1
SHP100613,2025-07-06 02:21:43.085904,WH-Mumbai,North,Carrier A,Road,220.4,215.3,129,2957,3314.53,1.4,1
SHP100548,2025-06-16 08:46:02.301918,WH-Chennai,North,Carrier C,Road,588.0,,118,2803,7192.6,0.5,0
SHP100812,2025-09-04 12:17:24.870725,WH-Delhi,North,Carrier C,Sea,417.9,210.1,134,2437,1908.5,2.0,1
SHP100403,2025-05-03 08:17:12.860717,WH-Kolkata,East,Carrier D,Road,342.2,28.6,108,2731,3825.51,0.7,0
SHP100530,2025-06-10 21:37:04.854045,WH-Delhi,Central,Carrier D,Road,302.2,505.3,116,4885,4678.01,1.0,0
SHP100134,2025-02-10 16:20:01.000834,WH-Bengaluru,South,Carrier D,Road,113.8,383.6,103,1918,2540.34,0.8,0
SHP100576,2025-06-24 20:46:38.331943,WH-Kolkata,North,Carrier A,Road,1020.0,338.8,103,84,12959.03,1.8,1
SHP101142,2025-12-13 16:41:38.081734,WH-Mumbai,East,Carrier A,Road,634.1,37.8,116,1176,7674.21,1.3,0
SHP100976,2025-10-24 07:12:21.618015,WH-Kolkata,East,Carrier C,Road,875.2,103.1,132,304,10556.42,0.8,0
SHP100010,2025-01-04 00:51:38.582151,WH-Chennai,East,Carrier A,Road,239.6,418.8,118,4784,4269.65,0.2,0
SHP100482,2025-05-27 07:53:11.659716,WH-Delhi,Central,Carrier D,Air,601.4,428.6,134,1098,33810.88,0.4,0
SHP100298,2025-04-01 11:14:57.748123,WH-Delhi,Central,Carrier C,Road,274.8,52.5,117,85,4089.62,1.3,0
SHP100575,2025-06-24 13:29:28.473728,WH-Kolkata,South,Carrier D,Sea,668.7,339.0,128,2306,4102.36,0.8,0
SHP100623,2025-07-09 03:13:21.668056,WH-Chennai,East,Carrier D,Sea,384.5,307.0,125,648,2499.16,1.5,0
SHP100838,2025-09-12 09:43:41.184320,WH-Kolkata,West,Carrier B,Road,284.3,113.6,136,135,3207.89,2.1,1
SHP101015,2025-11-05 03:21:46.088407,WH-Chennai,Central,Carrier A,Road,514.6,576.9,130,3675,8994.39,1.5,1
SHP100439,2025-05-14 06:35:07.756463,WH-Kolkata,North,Carrier C,Road,469.8,462.4,133,2025,7289.89,1.0,0
SHP100104,2025-02-01 13:45:05.254378,WH-Chennai,Central,Carrier D,road,457.7,259.2,117,3907,5913.77,0.2,0
SHP100872,2025-09-22 17:27:16.363636,WH-Chennai,East,Carrier B,Rail,647.3,373.8,128,4318,5671.7,0.6,0
SHP100853,2025-09-16 23:01:09.057547,WH-Kolkata,East,Carrier B,Road,676.1,274.5,127,1927,9118.32,1.1,0
SHP100619,2025-07-07 22:04:42.235195,WH-Kolkata,East,Carrier D,Rail,193.0,581.8,114,4064,2057.73,0.2,0
SHP100435,2025-05-13 01:26:28.323603,WH-Delhi,East,Carrier C,Sea,329.9,140.7,129,2945,1981.14,0.6,0
SHP100996,2025-10-30 08:55:38.782318,WH-Bengaluru,North,Carrier D,Rail,1007.6,104.0,111,4760,6601.66,0.8,0
SHP101184,2025-12-26 10:42:32.126772,WH-Kolkata,North,Carrier C,Rail,492.1,57.1,128,4492,2974.63,0.2,0
SHP100325,2025-04-09 15:58:23.919933,WH-Kolkata,North,Carrier C,Road,605.5,195.5,127,4507,8612.95,1.2,0
SHP100464,2025-05-21 20:44:14.211843,WH-Bengaluru,Central,Carrier B,Road,540.1,222.7,109,301,7374.18,1.5,1
SHP100998,2025-10-30 23:29:58.498748,WH-Bengaluru,East,Carrier B,Rail,979.5,124.7,118,2978,6934.51,1.2,0
SHP100139,2025-02-12 04:45:50.291909,WH-Kolkata,West,Carrier B,Air,493.5,,127,4,27681.22,1.1,0
SHP101093,2025-11-28 19:40:35.029190,WH-Delhi,South,Carrier C,Road,373.8,82.9,117,2526,4271.58,1.4,1
SHP101045,2025-11-14 05:56:41.834862,WH-Kolkata,West,Carrier D,Road,616.8,223.4,132,2531,7262.29,1.3,0
SHP100165,2025-02-20 02:12:06.605504,WH-Bengaluru,Central,Carrier D,Air,500.8,172.8,120,338,27516.32,0.2,0
SHP100226,2025-03-10 14:39:07.956630,WH-Mumbai,Central,Carrier D,Rail,1269.6,63.5,116,2615,9343.53,1.6,1
SHP100909,2025-10-03 23:02:21.117598,WH-Bengaluru,West,Carrier B,Rail,314.1,220.0,136,2379,2901.63,0.2,0
SHP100180,2025-02-24 15:29:34.478732,WH-Mumbai,East,,Rail,515.3,266.1,132,4118,,1.0,0
SHP100191,2025-02-27 23:38:22.919099,WH-Bengaluru,South,Carrier A,Air,907.2,,142,3139,49973.19,0.3,0
SHP100306,2025-04-03 21:32:16.613844,WH-Delhi,South,Carrier C,Rail,668.0,164.4,125,2804,5320.91,0.3,0
SHP100335,2025-04-12 16:50:02.502085,WH-Mumbai,South,Carrier C,Sea,163.4,278.7,137,3856,668.32,1.3,0
SHP100863,2025-09-19 23:52:47.639699,WH-Delhi,East,Carrier A,Road,1257.3,256.7,109,1336,16149.15,1.2,0
SHP101075,2025-11-23 08:31:37.581317,WH-Mumbai,Central,Carrier C,Road,624.0,87.7,108,541,7412.72,0.9,0
SHP100955,2025-10-17 22:11:54.595496,WH-Chennai,North,Carrier D,Sea,568.2,82.8,125,468,2681.0,2.5,1
SHP100833,2025-09-10 21:17:51.893244,WH-Kolkata,West,Carrier B,Air,270.9,260.1,131,4383,15345.08,0.6,0
SHP100913,2025-10-05 04:11:00.550458,WH-Chennai,North,Carrier B,Rail,399.2,196.0,111,2590,3572.22,0.5,0
SHP100845,2025-09-14 12:43:50.191826,WH-Kolkata,East,Carrier C,Road,126.2,186.6,136,380,2461.66,0.2,0
SHP100783,2025-08-26 16:59:38.982485,WH-Chennai,South,Carrier D,Road,708.1,351.5,142,3123,9455.43,1.7,0
SHP100345,2025-04-15 17:41:41.084236,WH-Mumbai,North,Carrier C,Road,405.0,106.7,109,3271,4757.52,0.8,0
SHP100785,2025-08-27 07:33:58.698915,WH-Kolkata,North,Carrier B,Sea,1434.3,226.9,113,4158,5492.25,3.3,1
SHP101054,2025-11-16 23:31:10.558799,WH-Kolkata,North,Carrier C,Rail,225.4,260.7,110,4787,2558.4,0.3,0
SHP100242,2025-03-15 11:13:45.688073,WH-Mumbai,Central,Carrier A,Road,155.5,81.7,123,2175,1766.68,0.6,0
SHP100017,2025-01-06 03:51:47.589658,WH-Kolkata,Central,Carrier A,Road,399.3,185.1,112,2395,5014.03,1.0,0
SHP100923,2025-10-08 05:02:39.132610,WH-Kolkata,Central,Carrier D,Sea,500.2,102.1,117,1622,2591.07,0.6,0
SHP100869,2025-09-21 19:35:46.788990,WH-Delhi,East,Carrier A,Road,125.3,48.5,115,2652,1404.2,0.2,0
SHP100799,2025-08-31 13:34:16.713928,WH-Delhi,North,Carrier A,Rail,836.3,373.5,117,3214,6107.96,1.7,1
SHP100625,2025-07-09 17:47:41.384487,WH-Delhi,Central,Carrier B,Rail,1385.8,435.3,115,2142,10274.75,0.7,0
SHP100207,2025-03-04 20:13:00.650542,WH-Mumbai,East,Carrier D,Road,778.8,276.9,122,1976,9345.63,2.1,0
SHP100859,2025-09-18 18:44:08.206839,WH-Kolkata,West,Carrier C,Rail,425.3,372.9,121,4681,4519.03,1.6,1
SHP101172,2025-12-22 19:16:33.828190,WH-Delhi,East,Carrier C,Rail,358.7,178.0,118,228,3229.0,0.2,0
SHP100660,2025-07-20 08:48:26.422018,WH-Chennai,North,Carrier A,Road,315.6,164.6,116,682,4294.62,1.4,1
SHP101178,2025-12-24 14:59:32.977481,WH-Delhi,Central,Carrier C,Road,599.4,,135,4349,7960.48,0.5,0
SHP100951,2025-10-16 17:03:15.162635,WH-Kolkata,West,Carrier C,Air,608.7,240.5,129,4257,34643.24,1.3,0
SHP100971,2025-10-22 18:46:32.326939,WH-Mumbai,East,Carrier C,road,720.2,496.7,133,2062,9724.93,1.3,0
SHP100793,2025-08-29 17:51:17.564637,WH-Bengaluru,South,Carrier B,Rail,182.9,576.1,112,2928,2454.98,1.0,0
SHP101191,2025-12-28 13:42:41.134278,WH-Kolkata,East,Carrier B,Rail,659.4,303.8,132,4816,5726.33,1.0,0
SHP100340,2025-04-14 05:15:51.793160,WH-Chennai,South,Carrier A,Road,271.0,185.4,108,4697,3753.05,1.2,0
SHP100175,2025-02-23 03:03:45.187656,WH-Bengaluru,East,Carrier D,Rail,796.0,114.7,129,4468,5601.81,0.7,0
SHP100986,2025-10-27 08:04:00.200166,WH-Mumbai,North,Carrier A,Sea,432.1,475.6,126,1333,2924.56,0.9,0
SHP100320,2025-04-08 03:32:34.628857,WH-Chennai,West,Carrier A,Road,323.5,290.2,128,3781,5169.22,1.4,0
SHP100772,2025-08-23 08:50:50.542118,WH-Mumbai,West,Carrier C,Rail,604.6,239.5,110,2993,4737.41,1.4,0
SHP100953,2025-10-17 07:37:34.879065,WH-Mumbai,Central,Carrier B,Rail,210.2,62.7,136,2228,1028.38,0.5,0
SHP100463,2025-05-21 13:27:04.353628,WH-Mumbai,Central,Carrier D,Road,1043.3,276.2,126,3149,12832.55,1.4,0
SHP100372,2025-04-23 22:25:07.256046,WH-Mumbai,North,Carrier D,Road,159.9,179.9,97,2093,2442.85,1.0,0
SHP101055,2025-11-17 06:48:20.417014,WH-Delhi,North,Carrier A,Sea,369.1,312.2,134,833,1578.79,1.8,0
SHP100480,2025-05-26 17:18:51.943286,WH-Kolkata,Central,Carrier D,Road,419.8,53.5,122,527,5078.81,0.8,0
SHP100404,2025-05-03 15:34:22.718932,WH-Delhi,West,Carrier B,Road,859.1,127.4,125,2415,10841.08,0.8,0
SHP100801,2025-09-01 04:08:36.430358,WH-Delhi,West,Carrier C,Road,391.3,687.1,100,3766,5998.93,0.5,0
SHP101186,2025-12-27 01:16:51.843202,WH-Chennai,West,Carrier A,Road,415.9,402.5,129,439,5879.48,0.2,0
SHP100426,2025-05-10 07:51:59.599666,WH-Chennai,Central,Carrier B,Road,193.6,300.6,115,2612,2115.27,1.6,1
SHP100329,2025-04-10 21:07:03.352793,WH-Delhi,Central,Carrier A,Road,95.6,100.1,108,3467,1758.46,0.3,0
SHP100531,2025-06-11 04:54:14.712260,WH-Delhi,South,Carrier D,Road,333.7,374.0,122,594,,0.3,0
SHP100326,2025-04-09 23:15:33.778148,WH-Kolkata,North,Carrier A,Road,366.6,112.2,135,527,4035.16,1.4,1
SHP100858,2025-09-18 11:26:58.348623,WH-Kolkata,West,Carrier A,Road,216.5,242.5,121,2918,2941.19,1.3,0
SHP100744,2025-08-14 20:50:14.512093,WH-Chennai,Central,Carrier D,Air,472.7,580.1,133,2399,27902.23,0.6,0
SHP101189,2025-12-27 23:08:21.417848,WH-Delhi,Central,Carrier D,Air,749.5,107.7,116,3345,41666.04,1.1,0
SHP100059,2025-01-18 21:52:41.634695,WH-Delhi,North,Carrier B,Road,560.9,591.5,129,4061,8131.77,1.1,0
SHP100013,2025-01-04 22:43:08.156797,WH-Delhi,West,Carrier D,Sea,416.6,388.4,114,1145,3547.5,1.5,1
SHP100432,2025-05-12 03:34:58.748957,WH-Chennai,Central,Carrier B,Road,861.1,180.0,97,2381,10518.81,1.2,0
SHP100830,2025-09-09 23:26:22.318598,WH-Bengaluru,South,Carrier C,Road,440.4,81.5,140,3513,5355.06,0.9,0
SHP100418,2025-05-07 21:34:40.733944,WH-Delhi,North,Carrier A,Road,285.6,189.0,131,700,4618.82,1.4,1
SHP100535,2025-06-12 10:02:54.145120,WH-Kolkata,North,Carrier A,Air,167.8,159.8,132,3555,9478.0,1.5,0
SHP100940,2025-10-13 08:54:26.722268,WH-Bengaluru,South,,Road,980.8,326.6,115,3787,12714.34,1.3,0
SHP100699,2025-08-01 04:57:50.892410,WH-Bengaluru,West,Carrier A,Road,438.1,118.6,119,4257,5903.09,1.5,1
SHP100091,2025-01-28 15:01:57.097581,WH-Chennai,West,Carrier B,Rail,572.7,445.8,113,1169,5089.05,0.7,0
SHP101118,2025-12-06 09:49:41.484570,WH-Mumbai,East,Carrier B,Rail,648.3,238.6,120,3940,4525.55,0.9,0
SHP100322,2025-04-08 18:06:54.345287,WH-Delhi,South,Carrier A,Sea,435.7,585.3,124,439,3294.45,0.8,0
SHP100520,2025-06-07 20:45:26.271893,WH-Delhi,West,Carrier D,Road,493.8,171.4,109,1675,6134.91,0.2,0
SHP100331,2025-04-11 11:41:23.069224,WH-Chennai,West,,Sea,485.4,,104,703,2879.52,1.5,1
SHP100644,2025-07-15 12:13:48.690575,WH-Delhi,North,Carrier B,Road,883.8,195.0,108,1773,11052.94,2.0,1
SHP100473,2025-05-24 14:18:42.935779,WH-Kolkata,North,Carrier A,Air,366.8,242.7,125,3898,20803.86,0.2,0
SHP100053,2025-01-17 02:09:42.485404,WH-Kolkata,East,Carrier D,Road,583.3,33.1,118,1672,6799.74,0.2,0
SHP100746,2025-08-15 11:24:34.228523,WH-Chennai,Central,Carrier B,Road,483.0,151.5,108,1172,6521.47,1.1,0
SHP100003,2025-01-01 21:51:29.574645,WH-Chennai,North,Carrier C,Road,414.4,104.5,112,4511,5363.71,2.3,0
SHP100479,2025-05-26 10:01:42.085070,WH-Mumbai,South,Carrier B,Rail,831.4,266.7,123,331,6546.08,1.2,0
SHP100494,2025-05-30 23:19:09.958298,WH-Chennai,East,Carrier B,Air,1225.0,202.9,113,4091,67423.44,0.2,0
SHP100256,2025-03-19 17:14:03.703085,WH-Mumbai,Central,Carrier C,Rail,133.2,224.4,134,171,1371.47,0.2,0
SHP100048,2025-01-15 13:43:53.194328,WH-Bengaluru,East,Carrier B,Road,418.3,172.0,120,761,5398.52,0.2,0
SHP101187,2025-12-27 08:34:01.701417,WH-Kolkata,Central,Carrier D,Rail,243.0,54.6,121,2358,2466.99,0.2,0
SHP100866,2025-09-20 21:44:17.214345,WH-Chennai,South,Carrier C,Rail,1274.4,1017.4,113,1196,11967.67,0.9,0
SHP100215,2025-03-07 06:30:19.516263,WH-Delhi,West,Carrier D,Road,548.9,286.9,131,3604,8012.4,0.9,0
SHP100486,2025-05-28 13:01:51.092577,WH-Delhi,North,Carrier B,Road,340.2,9.0,143,2330,3837.59,0.6,0
SHP100577,2025-06-25 04:03:48.190158,WH-Bengaluru,Central,Carrier A,Road,806.3,551.7,110,1824,11723.47,0.8,0
SHP100072,2025-01-22 20:35:49.791492,WH-Kolkata,North,Carrier C,Road,900.4,41.5,113,3336,10672.62,0.6,0
SHP101122,2025-12-07 14:58:20.917431,WH-Kolkata,North,Carrier A,Sea,868.3,138.2,112,2944,4179.62,1.1,0
SHP100674,2025-07-24 14:48:44.437030,WH-Mumbai,North,Carrier D,Rail,244.1,64.9,133,302,1895.91,,0
SHP100002,2025-01-01 14:34:19.716430,WH-Chennai,East,Carrier C,Air,414.4,50.5,132,3177,22688.95,1.2,0
SHP101113,2025-12-04 21:23:52.193494,WH-Chennai,East,Carrier D,Air,318.3,357.0,127,916,19118.62,0.2,0
SHP100890,2025-09-28 04:36:13.811509,WH-Delhi,Central,Carrier D,Road,151.6,609.9,115,245,4160.2,0.6,0
SHP100241,2025-03-15 03:56:35.829858,WH-Kolkata,Central,Carrier C,Road,647.6,789.0,118,4125,9020.19,0.9,0
SHP100661,2025-07-20 16:05:36.280233,WH-Delhi,West,Carrier B,Sea,186.7,88.2,103,1161,706.9,1.0,0
SHP100950,2025-10-16 09:46:05.304420,WH-Bengaluru,North,Carrier C,Sea,1080.4,167.8,100,4736,4915.41,2.0,0
SHP101025,2025-11-08 04:13:24.670558,WH-Kolkata,East,Carrier B,road,524.5,11.4,132,3357,6328.83,1.1,0
SHP101042,2025-11-13 08:05:12.260216,WH-Chennai,North,Carrier C,Sea,528.5,8.9,118,3930,2323.03,1.2,0
SHP100597,2025-07-01 05:47:05.354462,WH-Bengaluru,Central,Carrier C,Road,1107.2,411.8,126,4134,14569.67,1.1,0
SHP100959,2025-10-19 03:20:34.028356,WH-Mumbai,North,Carrier D,Rail,241.9,,107,1436,1758.9,0.8,0
SHP100509,2025-06-04 12:36:37.831526,WH-Kolkata,Central,Carrier D,Road,675.4,132.9,113,1634,8551.12,0.8,0
SHP100780,2025-08-25 19:08:09.407839,WH-Delhi,East,Carrier D,Rail,144.8,211.8,123,2398,1123.31,0.2,0
SHP100886,2025-09-26 23:27:34.378648,WH-Bengaluru,East,Carrier C,Road,61.9,241.9,117,4352,915.32,0.9,0
SHP100073,2025-01-23 03:52:59.649708,WH-Mumbai,West,Carrier B,Road,736.7,240.5,109,782,8462.81,1.3,0
SHP100117,2025-02-05 12:28:13.411175,WH-Chennai,Central,Carrier D,Sea,158.2,379.4,126,1771,2559.07,0.7,0
SHP101092,2025-11-28 12:23:25.170975,WH-Mumbai,South,Carrier B,Road,576.4,238.7,133,2366,6981.08,1.5,0
SHP100893,2025-09-29 02:27:43.386155,WH-Mumbai,North,Carrier D,Air,197.7,105.9,133,865,11849.21,0.9,0
SHP101116,2025-12-05 19:15:21.768140,WH-Mumbai,North,Carrier B,Road,647.2,93.0,135,2114,7872.31,1.3,0
SHP100367,2025-04-22 09:59:17.964970,WH-Bengaluru,North,Carrier D,Road,239.7,237.7,115,4133,2581.63,1.0,0
SHP100005,2025-01-02 12:25:49.291075,WH-Kolkata,West,Carrier C,Road,742.8,48.3,126,3881,9011.8,1.5,1
SHP101140,2025-12-13 02:07:18.365304,WH-Chennai,West,Carrier B,Road,544.3,132.1,121,3924,6923.59,0.6,0
SHP100875,2025-09-23 15:18:45.938281,WH-Bengaluru,West,Carrier A,Road,1212.1,320.1,138,827,15878.49,1.9,0
SHP100651,2025-07-17 15:13:57.698081,WH-Mumbai,Central,Carrier C,Road,626.0,380.8,123,3977,9016.54,0.3,0
SHP101007,2025-11-02 17:04:27.222685,WH-Kolkata,West,Carrier B,Road,303.9,244.8,109,3837,4664.17,0.7,0
SHP100330,2025-04-11 04:24:13.211009,WH-Chennai,Central,Carrier A,Road,240.5,153.9,122,1361,2886.79,0.7,0
SHP100943,2025-10-14 06:45:56.296914,WH-Kolkata,South,Carrier C,Road,971.1,422.0,112,3547,12622.55,1.4,0
SHP100011,2025-01-04 08:08:48.440366,WH-Chennai,South,Carrier C,Rail,578.4,278.6,103,2058,4889.29,0.9,0
SHP101145,2025-12-14 14:33:07.656380,WH-Chennai,North,Carrier D,Road,345.4,558.9,90,4880,5469.33,0.9,0
